"STATISTIC Label","Year","Type of Cattle","Region and County","UNIT","VALUE"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Carlow","000 Head","6"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Kilkenny","000 Head","12.1"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Wexford","000 Head","13.1"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Waterford","000 Head","9.3"
"Number of Cattle in June","2018","Cattle female: 2 years and over","South-West","000 Head","50.8"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Cork","000 Head","36.8"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Kerry","000 Head","14"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Eastern and Midland","000 Head","108.3"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Dublin","000 Head","3.5"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Dublin and Mid-East","000 Head","52.9"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Kildare","000 Head","10.4"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Louth","000 Head","8.2"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Meath","000 Head","24.2"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Wicklow","000 Head","6.6"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Midland","000 Head","55.4"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Laois","000 Head","12.4"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Longford","000 Head","7.7"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Offaly","000 Head","17.4"
"Number of Cattle in June","2018","Cattle female: 2 years and over","Westmeath","000 Head","18"
"Number of Cattle in June","2018","Cattle: 1-2 years","State","000 Head","1905.3"
"Number of Cattle in June","2018","Cattle: 1-2 years","Northern and Western","000 Head","433.6"
"Number of Cattle in June","2018","Cattle: 1-2 years","Border","000 Head","198"
"Number of Cattle in June","2018","Cattle: 1-2 years","Leitrim","000 Head","10.1"
"Number of Cattle in June","2018","Cattle: 1-2 years","Sligo","000 Head","25.1"
"Number of Cattle in June","2018","Cattle: 1-2 years","Cavan","000 Head","55.7"
"Number of Cattle in June","2018","Cattle: 1-2 years","Donegal","000 Head","49.2"
"Number of Cattle in June","2018","Cattle: 1-2 years","Monaghan","000 Head","57.9"
"Number of Cattle in June","2018","Cattle: 1-2 years","West","000 Head","235.6"
"Number of Cattle in June","2018","Cattle: 1-2 years","Galway","000 Head","114.2"
"Number of Cattle in June","2018","Cattle: 1-2 years","Mayo","000 Head","65.2"
"Number of Cattle in June","2018","Cattle: 1-2 years","Roscommon","000 Head","56.2"
"Number of Cattle in June","2018","Cattle: 1-2 years","Southern","000 Head","1002.2"
"Number of Cattle in June","2018","Cattle: 1-2 years","Mid-West","000 Head","373.3"
"Number of Cattle in June","2018","Cattle: 1-2 years","Clare","000 Head","63.7"
"Number of Cattle in June","2018","Cattle: 1-2 years","Limerick","000 Head","111.6"
"Number of Cattle in June","2018","Cattle: 1-2 years","Tipperary","000 Head","198"
"Number of Cattle in June","2018","Cattle: 1-2 years","South-East","000 Head","294.1"
"Number of Cattle in June","2018","Cattle: 1-2 years","Carlow","000 Head","32.2"
"Number of Cattle in June","2018","Cattle: 1-2 years","Kilkenny","000 Head","106"
"Number of Cattle in June","2018","Cattle: 1-2 years","Wexford","000 Head","87.1"
"Number of Cattle in June","2018","Cattle: 1-2 years","Waterford","000 Head","68.8"
"Number of Cattle in June","2018","Cattle: 1-2 years","South-West","000 Head","334.8"
"Number of Cattle in June","2018","Cattle: 1-2 years","Cork","000 Head","266.8"
"Number of Cattle in June","2018","Cattle: 1-2 years","Kerry","000 Head","68"
"Number of Cattle in June","2018","Cattle: 1-2 years","Eastern and Midland","000 Head","469.6"
"Number of Cattle in June","2018","Cattle: 1-2 years","Dublin","000 Head","6.6"
"Number of Cattle in June","2018","Cattle: 1-2 years","Dublin and Mid-East","000 Head","208.1"
"Number of Cattle in June","2018","Cattle: 1-2 years","Kildare","000 Head","46.2"
"Number of Cattle in June","2018","Cattle: 1-2 years","Louth","000 Head","25.5"
"Number of Cattle in June","2018","Cattle: 1-2 years","Meath","000 Head","96.2"
"Number of Cattle in June","2018","Cattle: 1-2 years","Wicklow","000 Head","33.6"
"Number of Cattle in June","2018","Cattle: 1-2 years","Midland","000 Head","261.5"
"Number of Cattle in June","2018","Cattle: 1-2 years","Laois","000 Head","81.6"
"Number of Cattle in June","2018","Cattle: 1-2 years","Longford","000 Head","30.2"
"Number of Cattle in June","2018","Cattle: 1-2 years","Offaly","000 Head","84.9"
"Number of Cattle in June","2018","Cattle: 1-2 years","Westmeath","000 Head","64.8"
"Number of Cattle in June","2018","Cattle male: 1-2 years","State","000 Head","881.6"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Northern and Western","000 Head","196"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Border","000 Head","89.7"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Leitrim","000 Head","3.2"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Sligo","000 Head","10.5"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Cavan","000 Head","22.7"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Donegal","000 Head","26.5"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Monaghan","000 Head","26.8"
"Number of Cattle in June","2018","Cattle male: 1-2 years","West","000 Head","106.3"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Galway","000 Head","52.3"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Mayo","000 Head","28.5"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Roscommon","000 Head","25.5"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Southern","000 Head","463"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Mid-West","000 Head","180.7"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Clare","000 Head","31.2"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Limerick","000 Head","51.5"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Tipperary","000 Head","97.9"
"Number of Cattle in June","2018","Cattle male: 1-2 years","South-East","000 Head","142"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Carlow","000 Head","16.1"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Kilkenny","000 Head","54.8"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Wexford","000 Head","41"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Waterford","000 Head","30.1"
"Number of Cattle in June","2018","Cattle male: 1-2 years","South-West","000 Head","140.3"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Cork","000 Head","115.7"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Kerry","000 Head","24.5"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Eastern and Midland","000 Head","222.7"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Dublin","000 Head","2.5"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Dublin and Mid-East","000 Head","96.2"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Kildare","000 Head","24"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Louth","000 Head","10.8"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Meath","000 Head","44.3"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Wicklow","000 Head","14.7"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Midland","000 Head","126.5"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Laois","000 Head","43.8"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Longford","000 Head","14"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Offaly","000 Head","41"
"Number of Cattle in June","2018","Cattle male: 1-2 years","Westmeath","000 Head","27.7"
"Number of Cattle in June","2018","Cattle female: 1-2 years","State","000 Head","1023.7"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Northern and Western","000 Head","237.6"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Border","000 Head","108.3"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Leitrim","000 Head","7"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Sligo","000 Head","14.7"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Cavan","000 Head","33"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Donegal","000 Head","22.7"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Monaghan","000 Head","31.1"
"Number of Cattle in June","2018","Cattle female: 1-2 years","West","000 Head","129.3"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Galway","000 Head","61.9"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Mayo","000 Head","36.7"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Roscommon","000 Head","30.7"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Southern","000 Head","539.2"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Mid-West","000 Head","192.6"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Clare","000 Head","32.4"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Limerick","000 Head","60.1"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Tipperary","000 Head","100"
"Number of Cattle in June","2018","Cattle female: 1-2 years","South-East","000 Head","152.1"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Carlow","000 Head","16.1"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Kilkenny","000 Head","51.2"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Wexford","000 Head","46.2"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Waterford","000 Head","38.6"
"Number of Cattle in June","2018","Cattle female: 1-2 years","South-West","000 Head","194.5"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Cork","000 Head","151.1"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Kerry","000 Head","43.4"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Eastern and Midland","000 Head","246.9"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Dublin","000 Head","4.2"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Dublin and Mid-East","000 Head","111.9"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Kildare","000 Head","22.2"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Louth","000 Head","14.6"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Meath","000 Head","51.9"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Wicklow","000 Head","19"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Midland","000 Head","135"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Laois","000 Head","37.8"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Longford","000 Head","16.1"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Offaly","000 Head","44"
"Number of Cattle in June","2018","Cattle female: 1-2 years","Westmeath","000 Head","37.1"
"Number of Cattle in June","2018","Cattle: under 1 year","State","000 Head","2078.3"
"Number of Cattle in June","2018","Cattle: under 1 year","Northern and Western","000 Head","517.7"
"Number of Cattle in June","2018","Cattle: under 1 year","Border","000 Head","239.7"
"Number of Cattle in June","2018","Cattle: under 1 year","Leitrim","000 Head","20.7"
"Number of Cattle in June","2018","Cattle: under 1 year","Sligo","000 Head","34.4"
"Number of Cattle in June","2018","Cattle: under 1 year","Cavan","000 Head","67.6"
"Number of Cattle in June","2018","Cattle: under 1 year","Donegal","000 Head","57.1"
"Number of Cattle in June","2018","Cattle: under 1 year","Monaghan","000 Head","59.9"
"Number of Cattle in June","2018","Cattle: under 1 year","West","000 Head","278"
"Number of Cattle in June","2018","Cattle: under 1 year","Galway","000 Head","131.6"
"Number of Cattle in June","2018","Cattle: under 1 year","Mayo","000 Head","85.3"
"Number of Cattle in June","2018","Cattle: under 1 year","Roscommon","000 Head","61.1"
"Number of Cattle in June","2018","Cattle: under 1 year","Southern","000 Head","1127.2"
"Number of Cattle in June","2018","Cattle: under 1 year","Mid-West","000 Head","415.9"
"Number of Cattle in June","2018","Cattle: under 1 year","Clare","000 Head","88.3"
"Number of Cattle in June","2018","Cattle: under 1 year","Limerick","000 Head","124.4"
"Number of Cattle in June","2018","Cattle: under 1 year","Tipperary","000 Head","203.2"
"Number of Cattle in June","2018","Cattle: under 1 year","South-East","000 Head","303.4"
"Number of Cattle in June","2018","Cattle: under 1 year","Carlow","000 Head","32.6"
"Number of Cattle in June","2018","Cattle: under 1 year","Kilkenny","000 Head","109.6"
"Number of Cattle in June","2018","Cattle: under 1 year","Wexford","000 Head","85.9"
"Number of Cattle in June","2018","Cattle: under 1 year","Waterford","000 Head","75.3"
"Number of Cattle in June","2018","Cattle: under 1 year","South-West","000 Head","407.9"
"Number of Cattle in June","2018","Cattle: under 1 year","Cork","000 Head","310.1"
"Number of Cattle in June","2018","Cattle: under 1 year","Kerry","000 Head","97.8"
"Number of Cattle in June","2018","Cattle: under 1 year","Eastern and Midland","000 Head","433.4"
"Number of Cattle in June","2018","Cattle: under 1 year","Dublin","000 Head","5.8"
"Number of Cattle in June","2018","Cattle: under 1 year","Dublin and Mid-East","000 Head","187.5"
"Number of Cattle in June","2018","Cattle: under 1 year","Kildare","000 Head","36.7"
"Number of Cattle in June","2018","Cattle: under 1 year","Louth","000 Head","23.4"
"Number of Cattle in June","2018","Cattle: under 1 year","Meath","000 Head","81.1"
"Number of Cattle in June","2018","Cattle: under 1 year","Wicklow","000 Head","40.6"
"Number of Cattle in June","2018","Cattle: under 1 year","Midland","000 Head","245.9"
"Number of Cattle in June","2018","Cattle: under 1 year","Laois","000 Head","77.1"
"Number of Cattle in June","2018","Cattle: under 1 year","Longford","000 Head","31.6"
"Number of Cattle in June","2018","Cattle: under 1 year","Offaly","000 Head","75.5"
"Number of Cattle in June","2018","Cattle: under 1 year","Westmeath","000 Head","61.7"
"Number of Cattle in June","2018","Cattle male: under 1 year","State","000 Head","998.1"
"Number of Cattle in June","2018","Cattle male: under 1 year","Northern and Western","000 Head","254.8"
"Number of Cattle in June","2018","Cattle male: under 1 year","Border","000 Head","117.4"
"Number of Cattle in June","2018","Cattle male: under 1 year","Leitrim","000 Head","10"
"Number of Cattle in June","2018","Cattle male: under 1 year","Sligo","000 Head","16.6"
"Number of Cattle in June","2018","Cattle male: under 1 year","Cavan","000 Head","32"
"Number of Cattle in June","2018","Cattle male: under 1 year","Donegal","000 Head","30.3"
"Number of Cattle in June","2018","Cattle male: under 1 year","Monaghan","000 Head","28.6"
"Number of Cattle in June","2018","Cattle male: under 1 year","West","000 Head","137.4"
"Number of Cattle in June","2018","Cattle male: under 1 year","Galway","000 Head","64.5"
"Number of Cattle in June","2018","Cattle male: under 1 year","Mayo","000 Head","42.1"
"Number of Cattle in June","2018","Cattle male: under 1 year","Roscommon","000 Head","30.7"
"Number of Cattle in June","2018","Cattle male: under 1 year","Southern","000 Head","529.5"
"Number of Cattle in June","2018","Cattle male: under 1 year","Mid-West","000 Head","204.6"
"Number of Cattle in June","2018","Cattle male: under 1 year","Clare","000 Head","43.6"
"Number of Cattle in June","2018","Cattle male: under 1 year","Limerick","000 Head","59.6"
"Number of Cattle in June","2018","Cattle male: under 1 year","Tipperary","000 Head","101.4"
"Number of Cattle in June","2018","Cattle male: under 1 year","South-East","000 Head","145.3"
"Number of Cattle in June","2018","Cattle male: under 1 year","Carlow","000 Head","16.7"
"Number of Cattle in June","2018","Cattle male: under 1 year","Kilkenny","000 Head","54.6"
"Number of Cattle in June","2018","Cattle male: under 1 year","Wexford","000 Head","40.3"
"Number of Cattle in June","2018","Cattle male: under 1 year","Waterford","000 Head","33.7"
"Number of Cattle in June","2018","Cattle male: under 1 year","South-West","000 Head","179.6"
"Number of Cattle in June","2018","Cattle male: under 1 year","Cork","000 Head","138.1"
"Number of Cattle in June","2018","Cattle male: under 1 year","Kerry","000 Head","41.4"
"Number of Cattle in June","2018","Cattle male: under 1 year","Eastern and Midland","000 Head","213.8"
"Number of Cattle in June","2018","Cattle male: under 1 year","Dublin","000 Head","2.6"
"Number of Cattle in June","2018","Cattle male: under 1 year","Dublin and Mid-East","000 Head","89.3"
"Number of Cattle in June","2018","Cattle male: under 1 year","Kildare","000 Head","18.4"
"Number of Cattle in June","2018","Cattle male: under 1 year","Louth","000 Head","10.7"
"Number of Cattle in June","2018","Cattle male: under 1 year","Meath","000 Head","38.3"
"Number of Cattle in June","2018","Cattle male: under 1 year","Wicklow","000 Head","19.2"
"Number of Cattle in June","2018","Cattle male: under 1 year","Midland","000 Head","124.6"
"Number of Cattle in June","2018","Cattle male: under 1 year","Laois","000 Head","40.2"
"Number of Cattle in June","2018","Cattle male: under 1 year","Longford","000 Head","15.5"
"Number of Cattle in June","2018","Cattle male: under 1 year","Offaly","000 Head","39.6"
"Number of Cattle in June","2018","Cattle male: under 1 year","Westmeath","000 Head","29.3"
"Number of Cattle in June","2018","Cattle female: under 1 year","State","000 Head","1080.3"
"Number of Cattle in June","2018","Cattle female: under 1 year","Northern and Western","000 Head","262.9"
"Number of Cattle in June","2018","Cattle female: under 1 year","Border","000 Head","122.3"
"Number of Cattle in June","2018","Cattle female: under 1 year","Leitrim","000 Head","10.7"
"Number of Cattle in June","2018","Cattle female: under 1 year","Sligo","000 Head","17.8"
"Number of Cattle in June","2018","Cattle female: under 1 year","Cavan","000 Head","35.6"
"Number of Cattle in June","2018","Cattle female: under 1 year","Donegal","000 Head","26.8"
"Number of Cattle in June","2018","Cattle female: under 1 year","Monaghan","000 Head","31.3"
"Number of Cattle in June","2018","Cattle female: under 1 year","West","000 Head","140.7"
"Number of Cattle in June","2018","Cattle female: under 1 year","Galway","000 Head","67"
"Number of Cattle in June","2018","Cattle female: under 1 year","Mayo","000 Head","43.2"
"Number of Cattle in June","2018","Cattle female: under 1 year","Roscommon","000 Head","30.4"
"Number of Cattle in June","2018","Cattle female: under 1 year","Southern","000 Head","597.7"
"Number of Cattle in June","2018","Cattle female: under 1 year","Mid-West","000 Head","211.3"
"Number of Cattle in June","2018","Cattle female: under 1 year","Clare","000 Head","44.7"
"Number of Cattle in June","2018","Cattle female: under 1 year","Limerick","000 Head","64.8"
"Number of Cattle in June","2018","Cattle female: under 1 year","Tipperary","000 Head","101.8"
"Number of Cattle in June","2018","Cattle female: under 1 year","South-East","000 Head","158.1"
"Number of Cattle in June","2018","Cattle female: under 1 year","Carlow","000 Head","15.9"
"Number of Cattle in June","2018","Cattle female: under 1 year","Kilkenny","000 Head","55"
"Number of Cattle in June","2018","Cattle female: under 1 year","Wexford","000 Head","45.7"
"Number of Cattle in June","2018","Cattle female: under 1 year","Waterford","000 Head","41.5"
"Number of Cattle in June","2018","Cattle female: under 1 year","South-West","000 Head","228.4"
"Number of Cattle in June","2018","Cattle female: under 1 year","Cork","000 Head","172"
"Number of Cattle in June","2018","Cattle female: under 1 year","Kerry","000 Head","56.4"
"Number of Cattle in June","2018","Cattle female: under 1 year","Eastern and Midland","000 Head","219.6"
"Number of Cattle in June","2018","Cattle female: under 1 year","Dublin","000 Head","3.1"
"Number of Cattle in June","2018","Cattle female: under 1 year","Dublin and Mid-East","000 Head","98.2"
"Number of Cattle in June","2018","Cattle female: under 1 year","Kildare","000 Head","18.3"
"Number of Cattle in June","2018","Cattle female: under 1 year","Louth","000 Head","12.7"
"Number of Cattle in June","2018","Cattle female: under 1 year","Meath","000 Head","42.8"
"Number of Cattle in June","2018","Cattle female: under 1 year","Wicklow","000 Head","21.4"
"Number of Cattle in June","2018","Cattle female: under 1 year","Midland","000 Head","121.4"
"Number of Cattle in June","2018","Cattle female: under 1 year","Laois","000 Head","37"
"Number of Cattle in June","2018","Cattle female: under 1 year","Longford","000 Head","16.1"
"Number of Cattle in June","2018","Cattle female: under 1 year","Offaly","000 Head","35.9"
"Number of Cattle in June","2018","Cattle female: under 1 year","Westmeath","000 Head","32.4"
"Number of Cattle in June","2018","Total cattle: male","State","000 Head","2346.5"
"Number of Cattle in June","2018","Total cattle: male","Northern and Western","000 Head","549.3"
"Number of Cattle in June","2018","Total cattle: male","Border","000 Head","243.2"
"Number of Cattle in June","2018","Total cattle: male","Leitrim","000 Head","15.2"
"Number of Cattle in June","2018","Total cattle: male","Sligo","000 Head","32.3"
"Number of Cattle in June","2018","Total cattle: male","Cavan","000 Head","64.8"
"Number of Cattle in June","2018","Total cattle: male","Donegal","000 Head","63.7"
"Number of Cattle in June","2018","Total cattle: male","Monaghan","000 Head","67.2"
"Number of Cattle in June","2018","Total cattle: male","West","000 Head","306.2"
"Number of Cattle in June","2018","Total cattle: male","Galway","000 Head","148.7"
"Number of Cattle in June","2018","Total cattle: male","Mayo","000 Head","86.1"
"Number of Cattle in June","2018","Total cattle: male","Roscommon","000 Head","71.4"
"Number of Cattle in June","2018","Total cattle: male","Southern","000 Head","1229.6"
"Number of Cattle in June","2018","Total cattle: male","Mid-West","000 Head","489.7"
"Number of Cattle in June","2018","Total cattle: male","Clare","000 Head","93"
"Number of Cattle in June","2018","Total cattle: male","Limerick","000 Head","142.7"
"Number of Cattle in June","2018","Total cattle: male","Tipperary","000 Head","254"
"Number of Cattle in June","2018","Total cattle: male","South-East","000 Head","350"
"Number of Cattle in June","2018","Total cattle: male","Carlow","000 Head","39.4"
"Number of Cattle in June","2018","Total cattle: male","Kilkenny","000 Head","135.4"
"Number of Cattle in June","2018","Total cattle: male","Wexford","000 Head","95.6"
"Number of Cattle in June","2018","Total cattle: male","Waterford","000 Head","79.6"
"Number of Cattle in June","2018","Total cattle: male","South-West","000 Head","390"
"Number of Cattle in June","2018","Total cattle: male","Cork","000 Head","309.3"
"Number of Cattle in June","2018","Total cattle: male","Kerry","000 Head","80.7"
"Number of Cattle in June","2018","Total cattle: male","Eastern and Midland","000 Head","567.6"
"Number of Cattle in June","2018","Total cattle: male","Dublin","000 Head","6.7"
"Number of Cattle in June","2018","Total cattle: male","Dublin and Mid-East","000 Head","248"
"Number of Cattle in June","2018","Total cattle: male","Kildare","000 Head","59.6"
"Number of Cattle in June","2018","Total cattle: male","Louth","000 Head","29.4"
"Number of Cattle in June","2018","Total cattle: male","Meath","000 Head","112.2"
"Number of Cattle in June","2018","Total cattle: male","Wicklow","000 Head","40"
"Number of Cattle in June","2018","Total cattle: male","Midland","000 Head","319.6"
"Number of Cattle in June","2018","Total cattle: male","Laois","000 Head","104.8"
"Number of Cattle in June","2018","Total cattle: male","Longford","000 Head","38.5"
"Number of Cattle in June","2018","Total cattle: male","Offaly","000 Head","100.6"
"Number of Cattle in June","2018","Total cattle: male","Westmeath","000 Head","75.6"
"Number of Cattle in June","2018","Total cattle: female","State","000 Head","5002"
"Number of Cattle in June","2018","Total cattle: female","Northern and Western","000 Head","1186.8"
"Number of Cattle in June","2018","Total cattle: female","Border","000 Head","554.4"
"Number of Cattle in June","2018","Total cattle: female","Leitrim","000 Head","47.1"
"Number of Cattle in June","2018","Total cattle: female","Sligo","000 Head","79.2"
"Number of Cattle in June","2018","Total cattle: female","Cavan","000 Head","163.6"
"Number of Cattle in June","2018","Total cattle: female","Donegal","000 Head","119.4"
"Number of Cattle in June","2018","Total cattle: female","Monaghan","000 Head","145.2"
"Number of Cattle in June","2018","Total cattle: female","West","000 Head","632.5"
"Number of Cattle in June","2018","Total cattle: female","Galway","000 Head","298.2"
"Number of Cattle in June","2018","Total cattle: female","Mayo","000 Head","193.2"
"Number of Cattle in June","2018","Total cattle: female","Roscommon","000 Head","141.1"
"Number of Cattle in June","2018","Total cattle: female","Southern","000 Head","2765"
"Number of Cattle in June","2018","Total cattle: female","Mid-West","000 Head","961.9"
"Number of Cattle in June","2018","Total cattle: female","Clare","000 Head","196.4"
"Number of Cattle in June","2018","Total cattle: female","Limerick","000 Head","301.2"
"Number of Cattle in June","2018","Total cattle: female","Tipperary","000 Head","464.3"
"Number of Cattle in June","2018","Total cattle: female","South-East","000 Head","725.9"
"Number of Cattle in June","2018","Total cattle: female","Carlow","000 Head","70.4"
"Number of Cattle in June","2018","Total cattle: female","Kilkenny","000 Head","242.9"
"Number of Cattle in June","2018","Total cattle: female","Wexford","000 Head","216.3"
"Number of Cattle in June","2018","Total cattle: female","Waterford","000 Head","196.4"
"Number of Cattle in June","2018","Total cattle: female","South-West","000 Head","1077.2"
"Number of Cattle in June","2018","Total cattle: female","Cork","000 Head","815.8"
"Number of Cattle in June","2018","Total cattle: female","Kerry","000 Head","261.4"
"Number of Cattle in June","2018","Total cattle: female","Eastern and Midland","000 Head","1050.1"
"Number of Cattle in June","2018","Total cattle: female","Dublin","000 Head","17.9"
"Number of Cattle in June","2018","Total cattle: female","Dublin and Mid-East","000 Head","487.9"
"Number of Cattle in June","2018","Total cattle: female","Kildare","000 Head","89.2"
"Number of Cattle in June","2018","Total cattle: female","Louth","000 Head","65.2"
"Number of Cattle in June","2018","Total cattle: female","Meath","000 Head","221.9"
"Number of Cattle in June","2018","Total cattle: female","Wicklow","000 Head","93.7"
"Number of Cattle in June","2018","Total cattle: female","Midland","000 Head","562.3"
"Number of Cattle in June","2018","Total cattle: female","Laois","000 Head","166.9"
"Number of Cattle in June","2018","Total cattle: female","Longford","000 Head","76.3"
"Number of Cattle in June","2018","Total cattle: female","Offaly","000 Head","161.9"
"Number of Cattle in June","2018","Total cattle: female","Westmeath","000 Head","157.2"
"Number of Cattle in June","2019","Total cattle","State","000 Head","7208.6"
"Number of Cattle in June","2019","Total cattle","Northern and Western","000 Head","1735.7"
"Number of Cattle in June","2019","Total cattle","Border","000 Head","799.5"
"Number of Cattle in June","2019","Total cattle","Leitrim","000 Head","62.1"
"Number of Cattle in June","2019","Total cattle","Sligo","000 Head","111.4"
"Number of Cattle in June","2019","Total cattle","Cavan","000 Head","228.7"
"Number of Cattle in June","2019","Total cattle","Donegal","000 Head","185.3"
"Number of Cattle in June","2019","Total cattle","Monaghan","000 Head","212"
"Number of Cattle in June","2019","Total cattle","West","000 Head","936.2"
"Number of Cattle in June","2019","Total cattle","Galway","000 Head","445.4"
"Number of Cattle in June","2019","Total cattle","Mayo","000 Head","278.6"
"Number of Cattle in June","2019","Total cattle","Roscommon","000 Head","212.2"
"Number of Cattle in June","2019","Total cattle","Southern","000 Head","3899.3"
"Number of Cattle in June","2019","Total cattle","Mid-West","000 Head","1425.6"
"Number of Cattle in June","2019","Total cattle","Clare","000 Head","287.8"
"Number of Cattle in June","2019","Total cattle","Limerick","000 Head","437.8"
"Number of Cattle in June","2019","Total cattle","Tipperary","000 Head","700"
"Number of Cattle in June","2019","Total cattle","South-East","000 Head","1034.9"
"Number of Cattle in June","2019","Total cattle","Carlow","000 Head","104.9"
"Number of Cattle in June","2019","Total cattle","Kilkenny","000 Head","364.7"
"Number of Cattle in June","2019","Total cattle","Wexford","000 Head","298.6"
"Number of Cattle in June","2019","Total cattle","Waterford","000 Head","266.7"
"Number of Cattle in June","2019","Total cattle","South-West","000 Head","1438.9"
"Number of Cattle in June","2019","Total cattle","Cork","000 Head","1093.3"
"Number of Cattle in June","2019","Total cattle","Kerry","000 Head","345.6"
"Number of Cattle in June","2019","Total cattle","Eastern and Midland","000 Head","1573.6"
"Number of Cattle in June","2019","Total cattle","Dublin","000 Head","23.5"
"Number of Cattle in June","2019","Total cattle","Dublin and Mid-East","000 Head","713.1"
"Number of Cattle in June","2019","Total cattle","Kildare","000 Head","144.9"
"Number of Cattle in June","2019","Total cattle","Louth","000 Head","92.6"
"Number of Cattle in June","2019","Total cattle","Meath","000 Head","323.8"
"Number of Cattle in June","2019","Total cattle","Wicklow","000 Head","128.2"
"Number of Cattle in June","2019","Total cattle","Midland","000 Head","860.5"
"Number of Cattle in June","2019","Total cattle","Laois","000 Head","259.2"
"Number of Cattle in June","2019","Total cattle","Longford","000 Head","114.4"
"Number of Cattle in June","2019","Total cattle","Offaly","000 Head","255.7"
"Number of Cattle in June","2019","Total cattle","Westmeath","000 Head","231.2"
